source_symbol,source_organism,ensg,ortholog_ensg,target_symbol,target_organism,description
SFT2D2,human,ENSG00000213064,ENSMUSG00000040848,Sft2d2,mouse,SFT2 domain containing 2 [Source:MGI Symbol;Acc:MGI:1917362]
P2RX4,human,ENSG00000135124,ENSMUSG00000029470,P2rx4,mouse,"purinergic receptor P2X, ligand-gated ion channel 4 [Source:MGI Symbol;Acc:MGI:1338859]"
Kdm1a,human,ENSG00000004487,ENSMUSG00000036940,Kdm1a,mouse,lysine (K)-specific demethylase 1A [Source:MGI Symbol;Acc:MGI:1196256]
SORD,human,ENSG00000140263,ENSMUSG00000027227,Sord,mouse,sorbitol dehydrogenase [Source:MGI Symbol;Acc:MGI:98266]
Cand1,human,ENSG00000111530,ENSMUSG00000020114,Cand1,mouse,cullin associated and neddylation disassociated 1 [Source:MGI Symbol;Acc:MGI:1261820]
PRSS23,human,ENSG00000150687,ENSMUSG00000039405,Prss23,mouse,"protease, serine 23 [Source:MGI Symbol;Acc:MGI:1923703]"
Srpk2,human,ENSG00000135250,ENSMUSG00000062604,Srpk2,mouse,serine/arginine-rich protein specific kinase 2 [Source:MGI Symbol;Acc:MGI:1201408]
HEBP1,human,ENSG00000013583,ENSMUSG00000042770,Hebp1,mouse,heme binding protein 1 [Source:MGI Symbol;Acc:MGI:1333880]
Fbxw11,human,ENSG00000072803,ENSMUSG00000020271,Fbxw11,mouse,F-box and WD-40 domain protein 11 [Source:MGI Symbol;Acc:MGI:2144023]
PXDN,human,ENSG00000130508,ENSMUSG00000020674,Pxdn,mouse,peroxidasin [Source:MGI Symbol;Acc:MGI:1916925]
LOC100910031,human,,,,mouse,
PCCA,human,ENSG00000175198,ENSMUSG00000041650,Pcca,mouse,"propionyl-Coenzyme A carboxylase, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97499]"
CETN2,human,ENSG00000147400,ENSMUSG00000031347,Cetn2,mouse,centrin 2 [Source:MGI Symbol;Acc:MGI:1347085]
VAV2,human,ENSG00000160293,ENSMUSG00000009621,Vav2,mouse,vav 2 oncogene [Source:MGI Symbol;Acc:MGI:102718]
UTP15,human,ENSG00000164338,ENSMUSG00000041747,Utp15,mouse,UTP15 small subunit processome component [Source:MGI Symbol;Acc:MGI:2145443]
MCCC2,human,ENSG00000131844,ENSMUSG00000021646,Mccc2,mouse,methylcrotonoyl-Coenzyme A carboxylase 2 (beta) [Source:MGI Symbol;Acc:MGI:1925288]
SLC38A5,human,ENSG00000017483,ENSMUSG00000031170,Slc38a5,mouse,"solute carrier family 38, member 5 [Source:MGI Symbol;Acc:MGI:2148066]"
Rab24,human,ENSG00000169228,ENSMUSG00000034789,Rab24,mouse,"RAB24, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105065]"
Nipsnap1,human,ENSG00000184117,ENSMUSG00000034285,Nipsnap1,mouse,nipsnap homolog 1 [Source:MGI Symbol;Acc:MGI:1278344]
CTTNBP2NL,human,ENSG00000143079,ENSMUSG00000062127,Cttnbp2nl,mouse,CTTNBP2 N-terminal like [Source:MGI Symbol;Acc:MGI:1933137]
Rps11,human,ENSG00000142534,ENSMUSG00000003429,Rps11,mouse,ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]
RPL27A,human,ENSG00000166441,ENSMUSG00000046364,Rpl27a,mouse,ribosomal protein L27A [Source:MGI Symbol;Acc:MGI:1347076]
SQLE,human,ENSG00000104549,ENSMUSG00000022351,Sqle,mouse,squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296]
SH3GL1,human,ENSG00000141985,ENSMUSG00000003200,Sh3gl1,mouse,SH3-domain GRB2-like 1 [Source:MGI Symbol;Acc:MGI:700010]
DERL1,human,ENSG00000136986,ENSMUSG00000022365,Derl1,mouse,"Der1-like domain family, member 1 [Source:MGI Symbol;Acc:MGI:1915069]"
SMG9,human,ENSG00000105771,ENSMUSG00000002210,Smg9,mouse,SMG9 nonsense mediated mRNA decay factor [Source:MGI Symbol;Acc:MGI:1919247]
RPS7,human,ENSG00000171863,ENSMUSG00000061477,Rps7,mouse,ribosomal protein S7 [Source:MGI Symbol;Acc:MGI:1333818]
CCDC88A,human,ENSG00000115355,ENSMUSG00000032740,Ccdc88a,mouse,coiled coil domain containing 88A [Source:MGI Symbol;Acc:MGI:1925177]
CTSB,human,ENSG00000164733,ENSMUSG00000021939,Ctsb,mouse,cathepsin B [Source:MGI Symbol;Acc:MGI:88561]
KPNA1,human,ENSG00000114030,ENSMUSG00000022905,Kpna1,mouse,karyopherin (importin) alpha 1 [Source:MGI Symbol;Acc:MGI:103560]
STAT3,human,ENSG00000168610,ENSMUSG00000004040,Stat3,mouse,signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]
LOC100912618,human,,,,mouse,
PPID,human,ENSG00000171497,ENSMUSG00000027804,Ppid,mouse,peptidylprolyl isomerase D (cyclophilin D) [Source:MGI Symbol;Acc:MGI:1914988]
SMARCC1,human,ENSG00000173473,ENSMUSG00000032481,Smarcc1,mouse,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 [Source:MGI Symbol;Acc:MGI:1203524]"
Edf1,human,ENSG00000107223,ENSMUSG00000015092,Edf1,mouse,endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]
UBE2R2,human,ENSG00000107341,ENSMUSG00000036241,Ube2r2,mouse,ubiquitin-conjugating enzyme E2R 2 [Source:MGI Symbol;Acc:MGI:1914865]
TOP1,human,ENSG00000198900,ENSMUSG00000070544,Top1,mouse,topoisomerase (DNA) I [Source:MGI Symbol;Acc:MGI:98788]
SRSF9,human,ENSG00000111786,ENSMUSG00000029538,Srsf9,mouse,serine and arginine-rich splicing factor 9 [Source:MGI Symbol;Acc:MGI:104896]
Dhcr24,human,ENSG00000116133,ENSMUSG00000034926,Dhcr24,mouse,24-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1922004]
HNRNPD,human,ENSG00000138668,ENSMUSG00000000568,Hnrnpd,mouse,heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]
DCAF11,human,ENSG00000100897,ENSMUSG00000022214,Dcaf11,mouse,DDB1 and CUL4 associated factor 11 [Source:MGI Symbol;Acc:MGI:90168]
CUL2,human,ENSG00000108094,ENSMUSG00000024231,Cul2,mouse,cullin 2 [Source:MGI Symbol;Acc:MGI:1918995]
VCL,human,ENSG00000035403,ENSMUSG00000021823,Vcl,mouse,vinculin [Source:MGI Symbol;Acc:MGI:98927]
Rbpj,human,ENSG00000168214,ENSMUSG00000039191,Rbpj,mouse,recombination signal binding protein for immunoglobulin kappa J region [Source:MGI Symbol;Acc:MGI:96522]
PTGES3,human,ENSG00000110958,ENSMUSG00000071072,Ptges3,mouse,prostaglandin E synthase 3 [Source:MGI Symbol;Acc:MGI:1929282]
AGO1,human,ENSG00000092847,ENSMUSG00000041530,Ago1,mouse,argonaute RISC catalytic subunit 1 [Source:MGI Symbol;Acc:MGI:2446630]
Ints3,human,ENSG00000143624,ENSMUSG00000027933,Ints3,mouse,integrator complex subunit 3 [Source:MGI Symbol;Acc:MGI:2140050]
Snrpn,human,ENSG00000128739,ENSMUSG00000102252,Snrpn,mouse,small nuclear ribonucleoprotein N [Source:MGI Symbol;Acc:MGI:98347]
RPLP2,human,ENSG00000177600,ENSMUSG00000025508,Rplp2,mouse,"ribosomal protein, large P2 [Source:MGI Symbol;Acc:MGI:1914436]"
RPLP2,human,ENSG00000177600,ENSMUSG00000118552,Rplp2-ps1,mouse,"ribosomal protein, large P2, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3826366]"
MYH15,human,ENSG00000144821,ENSMUSG00000092009,Myh15,mouse,"myosin, heavy chain 15 [Source:MGI Symbol;Acc:MGI:3643515]"
DPY19L1,human,ENSG00000173852,ENSMUSG00000043067,Dpy19l1,mouse,dpy-19-like 1 (C. elegans) [Source:MGI Symbol;Acc:MGI:1915685]
Ubp1,human,ENSG00000153560,ENSMUSG00000009741,Ubp1,mouse,upstream binding protein 1 [Source:MGI Symbol;Acc:MGI:104889]
MIF,human,ENSG00000240972,ENSMUSG00000033307,Mif,mouse,macrophage migration inhibitory factor (glycosylation-inhibiting factor) [Source:MGI Symbol;Acc:MGI:96982]
DDX46,human,ENSG00000145833,ENSMUSG00000021500,Ddx46,mouse,DEAD box helicase 46 [Source:MGI Symbol;Acc:MGI:1920895]
SCPEP1,human,ENSG00000121064,ENSMUSG00000000278,Scpep1,mouse,serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]
LOC684976,human,,,,mouse,
THOC2,human,ENSG00000125676,ENSMUSG00000037475,Thoc2,mouse,THO complex 2 [Source:MGI Symbol;Acc:MGI:2442413]
PSMD13,human,ENSG00000185627,ENSMUSG00000025487,Psmd13,mouse,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13 [Source:MGI Symbol;Acc:MGI:1345192]"
DDR2,human,ENSG00000162733,ENSMUSG00000026674,Ddr2,mouse,"discoidin domain receptor family, member 2 [Source:MGI Symbol;Acc:MGI:1345277]"
SMC2,human,ENSG00000136824,ENSMUSG00000028312,Smc2,mouse,structural maintenance of chromosomes 2 [Source:MGI Symbol;Acc:MGI:106067]
MAP3K7,human,ENSG00000135341,ENSMUSG00000028284,Map3k7,mouse,mitogen-activated protein kinase kinase kinase 7 [Source:MGI Symbol;Acc:MGI:1346877]
PABPC1,human,ENSG00000070756,,,mouse,
HSD17B10,human,ENSG00000072506,ENSMUSG00000025260,Hsd17b10,mouse,hydroxysteroid (17-beta) dehydrogenase 10 [Source:MGI Symbol;Acc:MGI:1333871]
Psma2,human,ENSG00000106588,ENSMUSG00000015671,Psma2,mouse,proteasome subunit alpha 2 [Source:MGI Symbol;Acc:MGI:104885]
Psma2,human,ENSG00000256646,ENSMUSG00000015671,Psma2,mouse,proteasome subunit alpha 2 [Source:MGI Symbol;Acc:MGI:104885]
Vcp,human,ENSG00000165280,ENSMUSG00000028452,Vcp,mouse,valosin containing protein [Source:MGI Symbol;Acc:MGI:99919]
BOD1L1,human,ENSG00000038219,ENSMUSG00000061755,Bod1l,mouse,biorientation of chromosomes in cell division 1-like [Source:MGI Symbol;Acc:MGI:2444804]
COX4I1,human,ENSG00000131143,ENSMUSG00000031818,Cox4i1,mouse,cytochrome c oxidase subunit 4I1 [Source:MGI Symbol;Acc:MGI:88473]
Ntmt1,human,ENSG00000148335,ENSMUSG00000026857,Ntmt1,mouse,N-terminal Xaa-Pro-Lys N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1913867]
LOC100912027,human,,,,mouse,
TRIM21,human,ENSG00000132109,ENSMUSG00000030966,Trim21,mouse,tripartite motif-containing 21 [Source:MGI Symbol;Acc:MGI:106657]
Thoc7,human,ENSG00000163634,ENSMUSG00000053453,Thoc7,mouse,THO complex 7 [Source:MGI Symbol;Acc:MGI:1913481]
LONP1,human,ENSG00000196365,ENSMUSG00000041168,Lonp1,mouse,"lon peptidase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1921392]"
BIRC6,human,ENSG00000115760,ENSMUSG00000024073,Birc6,mouse,baculoviral IAP repeat-containing 6 [Source:MGI Symbol;Acc:MGI:1276108]
UBXN7,human,ENSG00000163960,ENSMUSG00000053774,Ubxn7,mouse,UBX domain protein 7 [Source:MGI Symbol;Acc:MGI:2146388]
KIF5B,human,ENSG00000170759,ENSMUSG00000006740,Kif5b,mouse,kinesin family member 5B [Source:MGI Symbol;Acc:MGI:1098268]
LOC683904,human,,,,mouse,
Serpinc1,human,ENSG00000117601,ENSMUSG00000026715,Serpinc1,mouse,"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1 [Source:MGI Symbol;Acc:MGI:88095]"
PXK,human,ENSG00000168297,ENSMUSG00000033885,Pxk,mouse,PX domain containing serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1289230]
C16orf62,human,,,,mouse,
MAN2A1,human,ENSG00000112893,ENSMUSG00000024085,Man2a1,mouse,"mannosidase 2, alpha 1 [Source:MGI Symbol;Acc:MGI:104669]"
INF2,human,ENSG00000203485,ENSMUSG00000037679,Inf2,mouse,"inverted formin, FH2 and WH2 domain containing [Source:MGI Symbol;Acc:MGI:1917685]"
CDC42BPB,human,ENSG00000198752,ENSMUSG00000021279,Cdc42bpb,mouse,CDC42 binding protein kinase beta [Source:MGI Symbol;Acc:MGI:2136459]
AP2A2,human,ENSG00000183020,ENSMUSG00000002957,Ap2a2,mouse,"adaptor-related protein complex 2, alpha 2 subunit [Source:MGI Symbol;Acc:MGI:101920]"
FTH1,human,ENSG00000167996,ENSMUSG00000024661,Fth1,mouse,ferritin heavy polypeptide 1 [Source:MGI Symbol;Acc:MGI:95588]
S100A11,human,ENSG00000163191,ENSMUSG00000027907,S100a11,mouse,S100 calcium binding protein A11 [Source:MGI Symbol;Acc:MGI:1338798]
MAP1B,human,ENSG00000131711,ENSMUSG00000052727,Map1b,mouse,microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]
XRCC5,human,ENSG00000079246,ENSMUSG00000026187,Xrcc5,mouse,X-ray repair complementing defective repair in Chinese hamster cells 5 [Source:MGI Symbol;Acc:MGI:104517]
AAGAB,human,ENSG00000103591,ENSMUSG00000037257,Aagab,mouse,alpha- and gamma-adaptin binding protein [Source:MGI Symbol;Acc:MGI:1914189]
RPL13a,human,ENSG00000142541,,,mouse,
Nqo1,human,ENSG00000181019,ENSMUSG00000003849,Nqo1,mouse,"NAD(P)H dehydrogenase, quinone 1 [Source:MGI Symbol;Acc:MGI:103187]"
LOC100910002,human,,,,mouse,
SNRPB2,human,ENSG00000125870,ENSMUSG00000008333,Snrpb2,mouse,U2 small nuclear ribonucleoprotein B [Source:MGI Symbol;Acc:MGI:104805]
Gpc6,human,ENSG00000183098,ENSMUSG00000058571,Gpc6,mouse,glypican 6 [Source:MGI Symbol;Acc:MGI:1346322]
C21orf33,human,,,,mouse,
RPS4X,human,ENSG00000198034,,,mouse,
CMTR1,human,ENSG00000137200,ENSMUSG00000024019,Cmtr1,mouse,cap methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1921407]
AQR,human,ENSG00000021776,ENSMUSG00000040383,Aqr,mouse,aquarius [Source:MGI Symbol;Acc:MGI:1276102]
HSPA13,human,ENSG00000155304,ENSMUSG00000032932,Hspa13,mouse,"heat shock protein 70 family, member 13 [Source:MGI Symbol;Acc:MGI:1309463]"
RPL36A-HNRNPH2,human,ENSG00000257529,,,mouse,
RGD1565048,human,,,,mouse,
TNC,human,ENSG00000041982,ENSMUSG00000028364,Tnc,mouse,tenascin C [Source:MGI Symbol;Acc:MGI:101922]
HNRNPF,human,ENSG00000169813,ENSMUSG00000042079,Hnrnpf,mouse,heterogeneous nuclear ribonucleoprotein F [Source:MGI Symbol;Acc:MGI:2138741]
CAPG,human,ENSG00000042493,ENSMUSG00000056737,Capg,mouse,"capping protein (actin filament), gelsolin-like [Source:MGI Symbol;Acc:MGI:1098259]"
UBA2,human,ENSG00000126261,ENSMUSG00000052997,Uba2,mouse,ubiquitin-like modifier activating enzyme 2 [Source:MGI Symbol;Acc:MGI:1858313]
Timp2,human,ENSG00000035862,ENSMUSG00000017466,Timp2,mouse,tissue inhibitor of metalloproteinase 2 [Source:MGI Symbol;Acc:MGI:98753]
Nt5dc3,human,ENSG00000111696,ENSMUSG00000054027,Nt5dc3,mouse,5'-nucleotidase domain containing 3 [Source:MGI Symbol;Acc:MGI:3513266]
Nt5dc3,human,ENSG00000111696,ENSMUSG00000112743,Gm49358,mouse,"predicted gene, 49358 [Source:MGI Symbol;Acc:MGI:6121566]"
MASTL,human,ENSG00000120539,ENSMUSG00000026779,Mastl,mouse,microtubule associated serine/threonine kinase-like [Source:MGI Symbol;Acc:MGI:1914371]
AP4E1,human,ENSG00000081014,ENSMUSG00000001998,Ap4e1,mouse,"adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]"
OXCT1,human,ENSG00000083720,ENSMUSG00000022186,Oxct1,mouse,3-oxoacid CoA transferase 1 [Source:MGI Symbol;Acc:MGI:1914291]
FAM65A,human,,,,mouse,
ACO2,human,ENSG00000100412,ENSMUSG00000022477,Aco2,mouse,"aconitase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:87880]"
ABCD3,human,ENSG00000117528,ENSMUSG00000028127,Abcd3,mouse,"ATP-binding cassette, sub-family D (ALD), member 3 [Source:MGI Symbol;Acc:MGI:1349216]"
WBP4,human,ENSG00000120688,ENSMUSG00000022023,Wbp4,mouse,WW domain binding protein 4 [Source:MGI Symbol;Acc:MGI:109568]
CAMK2D,human,ENSG00000145349,,,mouse,
Rab7a,human,ENSG00000075785,ENSMUSG00000079477,Rab7,mouse,"RAB7, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105068]"
EMD,human,ENSG00000102119,ENSMUSG00000001964,Emd,mouse,emerin [Source:MGI Symbol;Acc:MGI:108117]
GOLGA4,human,ENSG00000144674,ENSMUSG00000038708,Golga4,mouse,"golgi autoantigen, golgin subfamily a, 4 [Source:MGI Symbol;Acc:MGI:1859646]"
BOLA2B,human,ENSG00000169627,ENSMUSG00000047721,Bola2,mouse,bolA-like 2 (E. coli) [Source:MGI Symbol;Acc:MGI:1913412]
BOLA2B,human,ENSG00000261740,,,mouse,
NDRG1,human,ENSG00000104419,ENSMUSG00000005125,Ndrg1,mouse,N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799]
TRAPPC13,human,ENSG00000113597,ENSMUSG00000021711,Trappc13,mouse,trafficking protein particle complex 13 [Source:MGI Symbol;Acc:MGI:1914225]
SFN,human,ENSG00000175793,ENSMUSG00000047281,Sfn,mouse,stratifin [Source:MGI Symbol;Acc:MGI:1891831]
CYP1B1,human,ENSG00000138061,ENSMUSG00000024087,Cyp1b1,mouse,"cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88590]"
Nudcd2,human,ENSG00000170584,ENSMUSG00000020328,Nudcd2,mouse,NudC domain containing 2 [Source:MGI Symbol;Acc:MGI:1277103]
Bckdha,human,ENSG00000248098,ENSMUSG00000060376,Bckdha,mouse,"branched chain ketoacid dehydrogenase E1, alpha polypeptide [Source:MGI Symbol;Acc:MGI:107701]"
MXRA5,human,ENSG00000101825,,,mouse,
Psma5,human,ENSG00000143106,ENSMUSG00000068749,Psma5,mouse,proteasome subunit alpha 5 [Source:MGI Symbol;Acc:MGI:1347009]
SQSTM1,human,ENSG00000161011,ENSMUSG00000015837,Sqstm1,mouse,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]
SNX5,human,ENSG00000089006,ENSMUSG00000027423,Snx5,mouse,sorting nexin 5 [Source:MGI Symbol;Acc:MGI:1916428]
ADRM1,human,ENSG00000130706,ENSMUSG00000039041,Adrm1,mouse,adhesion regulating molecule 1 [Source:MGI Symbol;Acc:MGI:1929289]
ADRM1,human,ENSG00000130706,ENSMUSG00000042165,Gm9774,mouse,predicted pseudogene 9774 [Source:MGI Symbol;Acc:MGI:3642386]
HNRNPA2B1,human,ENSG00000122566,ENSMUSG00000004980,Hnrnpa2b1,mouse,heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]
SATB2,human,ENSG00000119042,ENSMUSG00000038331,Satb2,mouse,special AT-rich sequence binding protein 2 [Source:MGI Symbol;Acc:MGI:2679336]
TAPBP,human,ENSG00000231925,ENSMUSG00000024308,Tapbp,mouse,TAP binding protein [Source:MGI Symbol;Acc:MGI:1201689]
DKFZp566H1924,human,,,,mouse,
LOC100360750,human,,,,mouse,
DCTN1,human,ENSG00000204843,ENSMUSG00000031865,Dctn1,mouse,dynactin 1 [Source:MGI Symbol;Acc:MGI:107745]
ATP2B1,human,ENSG00000070961,ENSMUSG00000019943,Atp2b1,mouse,"ATPase, Ca++ transporting, plasma membrane 1 [Source:MGI Symbol;Acc:MGI:104653]"
BTAF1,human,ENSG00000095564,ENSMUSG00000040565,Btaf1,mouse,B-TFIID TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:2147538]
Lpar1,human,ENSG00000198121,ENSMUSG00000038668,Lpar1,mouse,lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]
HMGCS1,human,ENSG00000112972,ENSMUSG00000093930,Hmgcs1,mouse,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]
RAP2C,human,ENSG00000123728,ENSMUSG00000050029,Rap2c,mouse,"RAP2C, member of RAS oncogene family [Source:MGI Symbol;Acc:MGI:1919315]"
COL18A1,human,ENSG00000182871,ENSMUSG00000001435,Col18a1,mouse,"collagen, type XVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88451]"
PIEZO1,human,ENSG00000103335,ENSMUSG00000014444,Piezo1,mouse,piezo-type mechanosensitive ion channel component 1 [Source:MGI Symbol;Acc:MGI:3603204]
TSPAN4,human,ENSG00000214063,ENSMUSG00000025511,Tspan4,mouse,tetraspanin 4 [Source:MGI Symbol;Acc:MGI:1928097]
ABHD17B,human,ENSG00000107362,ENSMUSG00000047368,Abhd17b,mouse,abhydrolase domain containing 17B [Source:MGI Symbol;Acc:MGI:1917816]
APLP2,human,ENSG00000084234,ENSMUSG00000031996,Aplp2,mouse,amyloid beta (A4) precursor-like protein 2 [Source:MGI Symbol;Acc:MGI:88047]
GNPAT,human,ENSG00000116906,ENSMUSG00000031985,Gnpat,mouse,glyceronephosphate O-acyltransferase [Source:MGI Symbol;Acc:MGI:1343460]
TGFB1I1,human,ENSG00000140682,ENSMUSG00000030782,Tgfb1i1,mouse,transforming growth factor beta 1 induced transcript 1 [Source:MGI Symbol;Acc:MGI:102784]
NELFCD,human,ENSG00000101158,ENSMUSG00000016253,Nelfcd,mouse,"negative elongation factor complex member C/D, Th1l [Source:MGI Symbol;Acc:MGI:1926424]"
SNCA,human,ENSG00000145335,ENSMUSG00000025889,Snca,mouse,"synuclein, alpha [Source:MGI Symbol;Acc:MGI:1277151]"
DLD,human,ENSG00000091140,ENSMUSG00000020664,Dld,mouse,dihydrolipoamide dehydrogenase [Source:MGI Symbol;Acc:MGI:107450]
PRKG1,human,ENSG00000185532,ENSMUSG00000052920,Prkg1,mouse,"protein kinase, cGMP-dependent, type I [Source:MGI Symbol;Acc:MGI:108174]"
FAM162A,human,ENSG00000114023,ENSMUSG00000003955,Fam162a,mouse,"family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]"
Nup35,human,ENSG00000163002,ENSMUSG00000026999,Nup35,mouse,nucleoporin 35 [Source:MGI Symbol;Acc:MGI:1916732]
AARS2,human,ENSG00000124608,ENSMUSG00000023938,Aars2,mouse,"alanyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:2681839]"
PDIA5,human,ENSG00000065485,ENSMUSG00000022844,Pdia5,mouse,protein disulfide isomerase associated 5 [Source:MGI Symbol;Acc:MGI:1919849]
SERPINB1,human,ENSG00000021355,ENSMUSG00000044734,Serpinb1a,mouse,"serine (or cysteine) peptidase inhibitor, clade B, member 1a [Source:MGI Symbol;Acc:MGI:1913472]"
SERPINB1,human,ENSG00000021355,ENSMUSG00000051029,Serpinb1b,mouse,"serine (or cysteine) peptidase inhibitor, clade B, member 1b [Source:MGI Symbol;Acc:MGI:2445361]"
SERPINB1,human,ENSG00000021355,ENSMUSG00000079049,Serpinb1c,mouse,"serine (or cysteine) peptidase inhibitor, clade B, member 1c [Source:MGI Symbol;Acc:MGI:2445363]"
ATG2B,human,ENSG00000066739,ENSMUSG00000041341,Atg2b,mouse,autophagy related 2B [Source:MGI Symbol;Acc:MGI:1923809]
SPARC,human,ENSG00000113140,ENSMUSG00000018593,Sparc,mouse,secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]
Hmg1l1,human,,,,mouse,
MLF2,human,ENSG00000089693,ENSMUSG00000030120,Mlf2,mouse,myeloid leukemia factor 2 [Source:MGI Symbol;Acc:MGI:1353554]
ICT1,human,,,,mouse,
SCARB1,human,ENSG00000073060,ENSMUSG00000037936,Scarb1,mouse,"scavenger receptor class B, member 1 [Source:MGI Symbol;Acc:MGI:893578]"
PIK3CA,human,ENSG00000121879,ENSMUSG00000027665,Pik3ca,mouse,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:MGI Symbol;Acc:MGI:1206581]"
MYO1C,human,ENSG00000197879,ENSMUSG00000017774,Myo1c,mouse,myosin IC [Source:MGI Symbol;Acc:MGI:106612]
SDHD,human,ENSG00000204370,ENSMUSG00000000171,Sdhd,mouse,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
ECI1,human,ENSG00000167969,ENSMUSG00000024132,Eci1,mouse,enoyl-Coenzyme A delta isomerase 1 [Source:MGI Symbol;Acc:MGI:94871]
Golph3,human,ENSG00000113384,ENSMUSG00000022200,Golph3,mouse,golgi phosphoprotein 3 [Source:MGI Symbol;Acc:MGI:1913879]
DTNBP1,human,ENSG00000047579,ENSMUSG00000057531,Dtnbp1,mouse,dystrobrevin binding protein 1 [Source:MGI Symbol;Acc:MGI:2137586]
APEH,human,ENSG00000164062,ENSMUSG00000032590,Apeh,mouse,acylpeptide hydrolase [Source:MGI Symbol;Acc:MGI:88041]
PRRC1,human,ENSG00000164244,ENSMUSG00000024594,Prrc1,mouse,proline-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1916106]
MFSD8,human,ENSG00000164073,ENSMUSG00000025759,Mfsd8,mouse,major facilitator superfamily domain containing 8 [Source:MGI Symbol;Acc:MGI:1919425]
ADAM10,human,ENSG00000137845,ENSMUSG00000054693,Adam10,mouse,a disintegrin and metallopeptidase domain 10 [Source:MGI Symbol;Acc:MGI:109548]
Mettl3,human,ENSG00000165819,ENSMUSG00000022160,Mettl3,mouse,methyltransferase like 3 [Source:MGI Symbol;Acc:MGI:1927165]
SCYL2,human,ENSG00000136021,ENSMUSG00000069539,Scyl2,mouse,SCY1-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1289172]
UNG,human,ENSG00000076248,ENSMUSG00000029591,Ung,mouse,uracil DNA glycosylase [Source:MGI Symbol;Acc:MGI:109352]
DPP4,human,ENSG00000197635,ENSMUSG00000035000,Dpp4,mouse,dipeptidylpeptidase 4 [Source:MGI Symbol;Acc:MGI:94919]
Upf2,human,ENSG00000151461,ENSMUSG00000043241,Upf2,mouse,UPF2 regulator of nonsense transcripts homolog (yeast) [Source:MGI Symbol;Acc:MGI:2449307]
AIP,human,ENSG00000110711,ENSMUSG00000024847,Aip,mouse,aryl-hydrocarbon receptor-interacting protein [Source:MGI Symbol;Acc:MGI:109622]
NOSIP,human,ENSG00000142546,ENSMUSG00000003421,Nosip,mouse,nitric oxide synthase interacting protein [Source:MGI Symbol;Acc:MGI:1913644]
Chmp1a,human,ENSG00000131165,ENSMUSG00000000743,Chmp1a,mouse,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]
C16orf58,human,ENSG00000140688,ENSMUSG00000030780,Rusf1,mouse,RUS family member 1 [Source:MGI Symbol;Acc:MGI:2384572]
TM9SF2,human,ENSG00000125304,ENSMUSG00000025544,Tm9sf2,mouse,transmembrane 9 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1915309]
Sep 02,human,,,,mouse,
Camk2g,human,ENSG00000148660,ENSMUSG00000021820,Camk2g,mouse,calcium/calmodulin-dependent protein kinase II gamma [Source:MGI Symbol;Acc:MGI:88259]
LOC100360573,human,,,,mouse,
